,service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,ObjectId
87927,2019/12/23 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,6590.0,7831.0,,87928
87930,2019/12/23 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4456.0,5056.0,,87931
88013,2019/12/22 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14766.0,19407.0,,88014
88049,2019/12/22 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,55241.0,65016.0,,88050
88050,2019/12/22 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,47562.0,48863.0,,88051
88051,2019/12/22 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,17026.0,19409.0,,88052
88052,2019/12/22 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,3723.0,4834.0,,88053
88058,2019/12/22 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,8059.0,10513.0,,88059
88103,2019/12/22 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,31953.0,33769.0,,88104
88104,2019/12/21 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,87366.0,95406.0,,88105
88105,2019/12/21 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,56135.0,68299.0,,88106
88106,2019/12/21 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,25728.0,32590.0,,88107
88107,2019/12/21 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,4032.0,5820.0,,88108
88108,2019/12/21 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,21505.0,29487.0,,88109
88109,2019/12/21 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,9231.0,12819.0,,88110
88159,2019/12/21 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,42668.0,44845.0,,88160
88401,2019/12/20 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,81361.0,97128.0,,88402
88402,2019/12/20 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,71007.0,81256.0,,88403
88404,2019/12/20 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,21603.0,26906.0,,88405
88406,2019/12/20 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,15456.0,19723.0,,88407
88411,2019/12/20 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14663.0,18508.0,,88412
88417,2019/12/20 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,12764.0,15832.0,,88418
88424,2019/12/20 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14742.0,18974.0,,88425
88432,2019/12/20 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,10368.0,13907.0,,88433
88440,2019/12/20 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,6027.0,8156.0,,88441
88448,2019/12/20 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,3794.0,5162.0,,88449
88485,2019/12/20 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,39789.0,43054.0,,88486
88486,2019/12/20 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,27193.0,28331.0,,88487
88710,2019/12/20 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,112634.0,129821.0,,88711
88711,2019/12/20 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,103812.0,115916.0,,88712
88918,2019/12/19 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,37257.0,40891.0,,88919
88919,2019/12/19 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,25577.0,28421.0,,88920
88998,2019/12/19 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,105248.0,121716.0,,88999
88999,2019/12/19 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,96539.0,117548.0,,89000
89000,2019/12/19 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,82387.0,93217.0,,89001
89001,2019/12/19 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,73793.0,82091.0,,89002
89002,2019/12/19 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,20738.0,26551.0,,89003
89003,2019/12/19 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,16227.0,20089.0,,89004
89004,2019/12/19 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14440.0,18485.0,,89005
89005,2019/12/19 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11332.0,14698.0,,89006
89006,2019/12/19 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,12650.0,16904.0,,89007
89007,2019/12/19 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11175.0,13965.0,,89008
89008,2019/12/19 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,3930.0,5092.0,,89009
89009,2019/12/19 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,6451.0,8089.0,,89010
89206,2019/12/18 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,119041.0,131442.0,,89207
89207,2019/12/18 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,110027.0,118555.0,,89208
89208,2019/12/18 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,85441.0,97999.0,,89209
89209,2019/12/18 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,73057.0,80523.0,,89210
89210,2019/12/18 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,21916.0,27001.0,,89211
89211,2019/12/18 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,17205.0,20936.0,,89212
89212,2019/12/18 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,13093.0,17687.0,,89213
89213,2019/12/18 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,10691.0,14594.0,,89214
89214,2019/12/18 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14496.0,18473.0,,89215
89215,2019/12/18 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11212.0,13918.0,,89216
89216,2019/12/18 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,7154.0,8809.0,,89217
89217,2019/12/18 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4491.0,5645.0,,89218
89332,2019/12/18 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,39990.0,42930.0,,89333
89338,2019/12/18 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,27753.0,28788.0,,89339
89383,2019/12/17 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,120856.0,132494.0,,89384
89384,2019/12/17 05:00:00+00,Red,,,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,107926.0,118084.0,,89385
89385,2019/12/17 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,88942.0,97918.0,,89386
89386,2019/12/17 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,74552.0,80874.0,,89387
89387,2019/12/17 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,22556.0,27439.0,,89388
89388,2019/12/17 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,16712.0,20052.0,,89389
89389,2019/12/17 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,13147.0,17993.0,,89390
89390,2019/12/17 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11204.0,14878.0,,89391
89391,2019/12/17 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14437.0,18444.0,,89392
89392,2019/12/17 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,9883.0,12802.0,,89393
89393,2019/12/17 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,6964.0,8698.0,,89394
